id,2000,2001,2002,2003,2004,2005,2006,chrt,sex,subpop
1,PB,PB,0,0,0,0,PB,2000,Male,GG
2,PB,0,0,0,0,0,0,2000,Male,NA
3,PB,0,0,0,0,0,0,2000,Female,GG
4,PB,0,0,0,0,0,0,2000,Male,GG
5,PB,0,0,0,0,0,0,2000,Female,GG
6,PB,0,0,0,0,0,0,2000,Male,GG
7,PB,0,0,0,0,0,0,2000,Male,GG
8,PB,0,0,0,0,0,0,2000,Male,GG
9,PB,PB,B,B,B,B,B,2000,Female,GG
10,PB,PB,B,PO,B,B,B,2000,Female,NA
11,PB,0,B,PO,B,B,B,2000,Male,GG
12,PB,PB,0,B,B,B,B,2000,Male,GG
13,PB,PB,PB,B,B,B,B,2000,Male,GG
14,PB,0,PB,B,B,B,0,2000,Female,BO
15,PB,PB,0,B,B,B,B,2000,Female,BO
16,PB,0,0,0,B,0,0,2000,Male,GG
17,PB,0,0,0,0,B,0,2000,Female,BO
18,PB,PB,0,0,0,0,0,2000,Female,GG
19,0,PB,0,0,0,0,0,2001,Male,NA
20,0,PB,0,0,0,0,0,2001,Male,NA
21,0,PB,0,PB,0,0,PB,2001,Female,NA
22,0,PB,0,0,0,0,0,2001,Female,GG
23,0,PB,0,0,0,0,0,2001,Male,NA
24,0,PB,0,0,0,0,PB,2001,Female,BO
25,0,PB,0,0,0,0,PB,2001,Female,BO
26,0,PB,0,0,0,0,PB,2001,Male,GG
27,0,PB,0,0,0,0,PB,2001,Female,BO
28,0,PB,0,0,0,0,PB,2001,Female,GG
29,0,PB,0,0,PB,PB,PB,2001,Male,GG
30,0,PB,0,0,0,0,PB,2001,Female,GG
31,0,PB,0,0,0,0,PB,2001,Female,GG
32,0,PB,0,0,0,0,PB,2001,Male,GG
33,0,PB,0,PB,0,PB,PB,2001,Female,GG
34,0,PB,0,PB,PB,PB,PB,2001,Female,GG
35,0,PB,0,B,0,0,PO,2001,Male,GG
36,0,PB,0,B,B,B,B,2001,Female,NA
37,0,PB,0,B,B,B,0,2001,Female,GG
38,0,PB,0,0,B,PO,0,2001,Male,GG
39,0,PB,0,PB,B,B,B,2001,Female,NA
40,0,PB,0,0,B,B,B,2001,Male,GG
41,0,PB,0,0,B,B,B,2001,Female,NA
42,0,PB,0,PB,B,0,PO,2001,Male,GG
43,0,PB,0,PB,B,B,B,2001,Male,GG
44,0,PB,0,0,B,B,0,2001,Female,NA
45,0,PB,0,0,B,B,0,2001,Male,NA
46,0,PB,0,PB,B,B,B,2001,Female,GG
47,0,PB,0,PB,B,0,0,2001,Female,GG
48,0,PB,0,0,B,B,B,2001,Male,GG
49,0,PB,0,PB,B,0,0,2001,Female,NA
50,0,PB,0,PB,B,B,0,2001,Female,NA
51,0,PB,0,PB,0,B,0,2001,Female,NA
52,0,PB,0,PB,PB,B,B,2001,Female,GG
53,0,PB,0,PB,0,B,B,2001,Female,NA
54,0,PB,0,PB,0,B,B,2001,Female,BO
55,0,PB,0,PB,PB,B,PO,2001,Female,GG
56,0,PB,0,0,PB,B,PO,2001,Male,GG
57,0,PB,0,0,B,0,B,2001,Female,NA
58,0,PB,0,0,0,0,0,2001,Female,GG
59,0,PB,0,0,0,0,0,2001,Female,NA
60,0,0,PB,0,0,PB,PB,2002,Male,NA
61,0,0,PB,PB,0,0,PB,2002,Female,NA
